Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),TECHO:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep) 
 03/04  00:10:00,22.2,1.0,315.0,0.0,0.0 
 03/04  00:20:00,21.7,0.9,329.0,0.0,0.0 
 03/04  00:30:00,22.6,0.8,330.0,0.0,0.0 
 03/04  00:40:00,21.9,1.3,338.0,0.0,0.0 
 03/04  00:50:00,21.6,2.1,348.0,0.0,0.0 
 03/04  01:00:00,21.4,2.0,346.0,0.0,0.0 
 03/04  01:10:00,21.0,2.3,337.0,0.0,0.0 
 03/04  01:20:00,21.3,2.1,309.0,0.0,0.0 
 03/04  01:30:00,20.5,2.4,347.0,0.0,0.0 
 03/04  01:40:00,20.5,2.7,334.0,0.0,0.0 
 03/04  01:50:00,20.6,2.2,343.0,0.0,0.0 
 03/04  02:00:00,20.3,1.8,188.0,0.0,0.0 
 03/04  02:10:00,19.7,2.0,213.0,0.0,0.0 
 03/04  02:20:00,19.2,2.2,343.0,0.0,0.0 
 03/04  02:30:00,19.4,2.5,341.0,0.0,0.0 
 03/04  02:40:00,19.6,2.1,333.0,0.0,0.0 
 03/04  02:50:00,18.9,2.1,209.0,0.0,0.0 
 03/04  03:00:00,18.5,1.9,155.0,0.0,0.0 
 03/04  03:10:00,18.1,1.2,280.0,0.0,0.0 
 03/04  03:20:00,17.9,2.0,283.0,0.0,0.0 
 03/04  03:30:00,18.8,1.9,277.0,0.0,0.0 
 03/04  03:40:00,19.2,2.2,309.0,0.0,0.0 
 03/04  03:50:00,18.5,2.5,327.0,0.0,0.0 
 03/04  04:00:00,18.7,2.2,312.0,0.0,0.0 
 03/04  04:10:00,17.9,2.2,319.0,0.0,0.0 
 03/04  04:20:00,17.5,2.4,316.0,0.0,0.0 
 03/04  04:30:00,17.5,2.2,309.0,0.0,0.0 
 03/04  04:40:00,17.7,2.0,332.0,0.0,0.0 
 03/04  04:50:00,17.6,2.5,330.0,0.0,0.0 
 03/04  05:00:00,17.4,2.3,332.0,0.0,0.0 
 03/04  05:10:00,17.3,2.7,340.0,0.0,0.0 
 03/04  05:20:00,17.3,2.9,346.0,0.0,0.0 
 03/04  05:30:00,17.3,2.8,345.0,0.0,0.0 
 03/04  05:40:00,17.1,3.2,345.0,0.0,0.0 
 03/04  05:50:00,16.9,3.3,343.0,0.0,0.0 
 03/04  06:00:00,16.8,3.3,345.0,0.0,0.0 
 03/04  06:10:00,16.8,3.2,344.0,0.0,0.0 
